type, ID, HMMR
digestive_system, WP_004300809.1, GH29-CBM32-CBM32
digestive_system, WP_004300998.1, GH32
digestive_system, WP_004297713.1, PL9
digestive_system, WP_052587864.1, GH2
digestive_system, WP_004297817.1, GH127
digestive_system, WP_004297722.1, CBM20
digestive_system, WP_004299007.1, GH15
digestive_system, WP_004300842.1, CBM4-CBM4-GH10
digestive_system, WP_004302341.1, CBM6
digestive_system, WP_004323482.1, GH20
digestive_system, WP_009000516.1, GH2
digestive_system, WP_004296254.1, GH92
digestive_system, WP_008642318.1, GH5
digestive_system, WP_004298143.1, CBM66
digestive_system, WP_004322981.1, GH31
digestive_system, WP_004296883.1, CE4
digestive_system, WP_004320943.1, PL11
digestive_system, WP_004324488.1, GH3
digestive_system, WP_004302211.1, PL13
digestive_system, WP_004300994.1, GH91
digestive_system, WP_004297819.1, GH2
digestive_system, WP_004322982.1, GH2
digestive_system, WP_004318517.1, GH130
digestive_system, WP_004301699.1, CE11
digestive_system, WP_004322526.1, CBM44
digestive_system, WP_059365520.1, GH105
digestive_system, WP_004301582.1, CE4
digestive_system, WP_004299829.1, CE8
digestive_system, WP_004299740.1, GH20
digestive_system, WP_004299797.1, PL12
digestive_system, WP_004298774.1, PL12
digestive_system, WP_004298030.1, CE1
digestive_system, WP_004295813.1, GT2
digestive_system, WP_004298980.1, GH97
digestive_system, WP_004298322.1, GH2
digestive_system, WP_004298599.1, GH66
digestive_system, WP_004295720.1, CE9
digestive_system, WP_004301374.1, CBM32
digestive_system, WP_004295719.1, CE9
digestive_system, WP_004301549.1, GH106
digestive_system, WP_004297401.1, PL5
digestive_system, WP_004298355.1, CBM9
digestive_system, WP_004300360.1, GT4
digestive_system, WP_004300134.1, GH20
digestive_system, WP_004296302.1, CE12-CE4
digestive_system, WP_004296597.1, CE12
digestive_system, WP_004300968.1, PL12
digestive_system, WP_004299955.1, GT6
digestive_system, WP_004297811.1, GH43-CBM6
digestive_system, WP_004296919.1, CBM44
digestive_system, WP_004297649.1, GT35
digestive_system, WP_004298526.1, GH2
digestive_system, WP_004298289.1, GT2
digestive_system, WP_059365533.1, GH10
digestive_system, WP_004298032.1, CE10
digestive_system, WP_004299538.1, GH92
digestive_system, WP_004299688.1, CE6-CE6
digestive_system, WP_004299719.1, GH35-CBM32
digestive_system, WP_004299907.1, GH130
digestive_system, WP_052587981.1, GH31
digestive_system, WP_004323277.1, CBM35
digestive_system, WP_004297605.1, GH27
digestive_system, WP_052587849.1, GH43
digestive_system, WP_004298297.1, GT4
digestive_system, WP_004325014.1, GH35-CBM32
digestive_system, WP_052587875.1, GH20
digestive_system, WP_004301576.1, CE12-CE12
digestive_system, WP_004299899.1, GH99
digestive_system, WP_004300480.1, PL1
digestive_system, WP_004301596.1, GH2
digestive_system, WP_004298641.1, GH43
digestive_system, WP_004300992.1, GH32
digestive_system, WP_004301474.1, GH2-CBM32
digestive_system, WP_004296032.1, CBM26-CE6
digestive_system, WP_004295659.1, GH73
digestive_system, WP_004297369.1, CE14
digestive_system, WP_052587865.1, GH127
digestive_system, WP_004299332.1, GH109
digestive_system, WP_004301488.1, GH92
digestive_system, WP_004299333.1, GH109
digestive_system, WP_004306223.1, GH28
digestive_system, WP_004297712.1, GH10
digestive_system, WP_004320975.1, GH92
digestive_system, WP_004298624.1, GH43
digestive_system, WP_004298320.1, GH88
digestive_system, WP_004296573.1, GH43
digestive_system, WP_004299752.1, CBM20-GH13
digestive_system, WP_004297505.1, GT4
digestive_system, WP_004295547.1, GT11
digestive_system, WP_052587925.1, GH43
digestive_system, WP_004301472.1, GH38
digestive_system, WP_004296028.1, PL1
digestive_system, WP_004301541.1, CE3-CE1-CE3
digestive_system, WP_052587976.1, GH97
digestive_system, WP_004299956.1, GT2
digestive_system, WP_004297730.1, GH3
digestive_system, WP_004299656.1, GH43
digestive_system, WP_004301511.1, PL1
digestive_system, WP_004300490.1, GH5
digestive_system, WP_004299564.1, CBM16
digestive_system, WP_004297281.1, GT2
digestive_system, WP_004297323.1, GH31
digestive_system, WP_059365534.1, GH92
digestive_system, WP_004299902.1, CE6
digestive_system, WP_004299673.1, CE6-CBM48-CE1
digestive_system, WP_004297805.1, GH10
digestive_system, WP_004324096.1, CE1
digestive_system, WP_004298509.1, CE12-CE12
digestive_system, WP_044918893.1, GH29
digestive_system, WP_004297317.1, CBM32
digestive_system, WP_004300619.1, GT2
digestive_system, WP_052587827.1, GH95
digestive_system, WP_004297385.1, GH25
digestive_system, WP_004301985.1, CE3
digestive_system, WP_004320963.1, GH28
digestive_system, WP_004297453.1, GH127
digestive_system, WP_004298400.1, GH5
digestive_system, WP_004301821.1, GH20-CBM32
digestive_system, WP_004295805.1, GT4
digestive_system, WP_004297099.1, GH2
digestive_system, WP_004296446.1, GH89
digestive_system, WP_004298476.1, GH18
digestive_system, WP_004298585.1, GH2
digestive_system, WP_004323636.1, GH92
digestive_system, WP_004301490.1, CE3
digestive_system, WP_004323725.1, GH5
digestive_system, WP_004298458.1, GH3
digestive_system, WP_004301137.1, GH97
digestive_system, WP_004300347.1, GT51
digestive_system, WP_004296507.1, GH2
digestive_system, WP_052587895.1, GH43
digestive_system, WP_052587938.1, CE10-CE12
digestive_system, WP_004296496.1, GH26
digestive_system, WP_004296566.1, GH2
digestive_system, WP_004296582.1, GH109
digestive_system, WP_004298064.1, CE3
digestive_system, WP_004322920.1, GH31
digestive_system, WP_004298628.1, GH51
digestive_system, WP_004320969.1, GH105
digestive_system, WP_004301489.1, GH130
digestive_system, WP_008776144.1, CE1
digestive_system, WP_004297077.1, PL22-PL22
digestive_system, WP_004302337.1, GH28
digestive_system, WP_004296896.1, GH28
digestive_system, WP_004301375.1, GH92
digestive_system, WP_004322518.1, GH3
digestive_system, WP_004298130.1, GH109
digestive_system, WP_004322985.1, CE6-CE6
digestive_system, WP_004297699.1, GH109
digestive_system, WP_004300418.1, CE10
digestive_system, WP_004305043.1, CBM20
digestive_system, WP_004307466.1, GH43
digestive_system, WP_004297012.1, GT10
digestive_system, WP_044919078.1, CBM67-GH78
digestive_system, WP_004297427.1, GH88-GH92
digestive_system, WP_004299528.1, GH43
digestive_system, WP_004302557.1, CBM66
digestive_system, WP_059365514.1, GH31
digestive_system, WP_004299593.1, GH109
digestive_system, WP_004302192.1, PL12
digestive_system, WP_004299401.1, GH76
digestive_system, WP_004297066.1, GH28
digestive_system, WP_004296966.1, GH88
digestive_system, WP_004297324.1, GH92
digestive_system, WP_004301529.1, CE8
digestive_system, WP_004298776.1, GH88
digestive_system, WP_052587820.1, GH2
digestive_system, WP_004299400.1, GH76
digestive_system, WP_004298508.1, GH2
digestive_system, WP_032848697.1, CE12
digestive_system, WP_004296071.1, GH78
digestive_system, WP_004301510.1, PL1
digestive_system, WP_004301658.1, CBM62-CBM62
digestive_system, WP_004302323.1, PL12
digestive_system, WP_004296726.1, GH20
digestive_system, WP_004296585.1, GH43
digestive_system, WP_004296584.1, GH109
digestive_system, WP_004298535.1, PL11
digestive_system, WP_004301607.1, PL9
digestive_system, WP_032848694.1, GH105
digestive_system, WP_004297725.1, GH43-CBM6
digestive_system, WP_052587923.1, GH5
digestive_system, WP_044919071.1, GH30
digestive_system, WP_004297442.1, GH31
digestive_system, WP_004299192.1, PL10
digestive_system, WP_004320978.1, CBM67-GH78
digestive_system, WP_004301602.1, GH28
digestive_system, WP_004296576.1, GH93-CBM9
digestive_system, WP_004299720.1, GH43
digestive_system, WP_004296623.1, GT2
digestive_system, WP_004301473.1, GH92
digestive_system, WP_004299906.1, GH92
digestive_system, WP_004301669.1, GH105
digestive_system, WP_004298344.1, GH2
digestive_system, WP_059365516.1, GH31
digestive_system, WP_004299609.1, CBM32-GH26
digestive_system, WP_032811051.1, GH125
digestive_system, WP_004301579.1, GH105
digestive_system, WP_004297614.1, GH43-CBM6
digestive_system, WP_004301787.1, GT5
digestive_system, WP_004300379.1, GT2
digestive_system, WP_004297715.1, GH115
digestive_system, WP_004300474.1, GH92
digestive_system, WP_004323080.1, GH130
digestive_system, WP_004308518.1, PL1
digestive_system, WP_004299817.1, GH95
digestive_system, WP_004323078.1, GH36
digestive_system, WP_004296512.1, GH3
digestive_system, WP_052588013.1, CE6-GH105
digestive_system, WP_052587983.1, GH105
digestive_system, WP_004297901.1, GH20-CBM32
digestive_system, WP_052588048.1, GH2
digestive_system, WP_004301026.1, GH29-CBM32-CBM32
digestive_system, WP_052587866.1, GH30
digestive_system, WP_004297256.1, CBM50
digestive_system, WP_004296624.1, GT4
